PAIS,FECHA,PIB CRECIMIENTO,PIB NOMINAL
El Salvador,2015,2.4,"$23,438,240,000.00 "
El Salvador,2016,2.54,"$24,191,430,000.00 "
El Salvador,2017,2.29,"$24,979,190,000.00 "
El Salvador,2018,2.42,"$26,020,850,000.00 "
El Salvador,2019,2.36,"$26,881,140,000.00 "
El Salvador,2020,-7.82,"$24,930,080,000.00 "
El Salvador,2021,11.18,"$29,451,240,000.00 "
El Salvador,2022,2.6,"$32,488,720,000.00 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
